"Để một cuộc trò chuyện về ESG gây được tiếng vang với khán giả, người ta nên định hình nó theo cách phù hợp với _____ và _____ của họ.","mối quan tâm, các ưu tiên."
Nên sử dụng điều gì để chứng minh lợi ích và giá trị của ESG?,"Dữ liệu và thông tin chi tiết có liên quan, cùng với các ví dụ thực tế về thành công."
"Khi thảo luận về ESG, nên giữ cho cuộc trò chuyện tập trung vào _____ và cơ hội, không chỉ là những thách thức.",giải pháp
"Trước khi chuyển đổi sang năng lượng xanh, công ty Ørsted của Đan Mạch đã là một trong những nhà máy phát điện sử dụng nhiều _____ nhất ở châu Âu vào những năm 2000.",than đá
Ørsted đã đầu tư mạnh vào lĩnh vực nào để đạt được sự chuyển đổi xanh?,"Năng lượng tái tạo, chủ yếu là điện gió ngoài khơi."
Kết quả đáng kể của việc chuyển đổi xanh của Ørsted đối với lượng khí thải carbon và hiệu quả tài chính là gì?,Họ đã giảm 86% lượng khí thải carbon trong khi hiệu quả tài chính được cải thiện đáng kể.
Ví dụ về 'Một ngày trong đời của Jack' minh họa điều gì?,Sự thiếu nhận thức hoặc thờ ơ đối với các hoạt động bền vững trong cuộc sống cá nhân và công việc.
"Trái ngược với Jack, James đã thực hiện những biện pháp bền vững nào tại siêu thị của mình để giảm lãng phí thực phẩm?",Hợp tác với các tổ chức từ thiện để quyên góp thực phẩm dư thừa và xây dựng cơ sở ủ phân hữu cơ.
Siêu thị của James đã giảm thiểu rác thải nhựa bằng cách nào?,Chọn các nhà cung cấp sử dụng bao bì bền vững và khuyến khích khách hàng sử dụng hộp đựng riêng hoặc túi có thể phân hủy.
"Theo tài liệu, ba nhóm chủ chốt có vai trò quan trọng trong việc thực hiện các sáng kiến ESG là ai?","Các tổ chức, cá nhân và xã hội (chính phủ, cộng đồng)."
Cá nhân đóng vai trò gì trong các sáng kiến ESG của một tổ chức?,"Áp dụng các thực hành bền vững, đưa ra lựa chọn có trách nhiệm và hỗ trợ các sáng kiến ESG của tổ chức, từ đó truyền cảm hứng cho người khác."
Paul Polman đã làm gì tại Unilever để thách thức hiện trạng của doanh nghiệp?,Ông đã lồng ghép các Mục tiêu Phát triển Bền vững của Liên Hợp Quốc vào mô hình kinh doanh của họ.
Thuật ngữ: Tài chính khí hậu (Climate Finance),"Định nghĩa: Nguồn tài chính ở cấp địa phương, quốc gia hoặc xuyên quốc gia nhằm hỗ trợ các hành động giảm thiểu và thích ứng để giải quyết biến đổi khí hậu."
"Tại COP15 năm 2009, các nước phát triển đã cam kết huy động bao nhiêu tiền mỗi năm vào năm 2020 để hỗ trợ hành động khí hậu ở các nước đang phát triển?",100 tỷ đô la Mỹ mỗi năm.
Một nghi ngờ tiềm tàng từ góc độ của một quốc gia đang phát triển về các chương trình tài chính khí hậu quốc tế là gì?,"Liệu các chương trình tài chính khí hậu có đáp ứng được mọi nhu cầu hay không, và nguồn vốn này thực sự dễ tiếp cận đến mức nào?"
Một lập luận phổ biến từ các nước đang phát triển về 'phần chia sẻ công bằng' của họ trong việc phát thải khí nhà kính là gì?,Họ 'có quyền' phát thải 'phần chia sẻ công bằng' của mình để hỗ trợ sự phát triển đất nước.
Rủi ro kinh tế tiềm tàng đối với các nước đang phát triển không tham gia vào quá trình chuyển đổi khí hậu là gì?,"Nguy cơ bị cô lập về kinh tế hoặc bị tụt hậu, không còn khả năng tiếp cận các thị trường giàu có của các nước phát triển."
Mối quan tâm chung ở các nước đang phát triển về tác động của quá trình chuyển đổi khí hậu đối với việc làm là gì?,"Lo ngại rằng quá trình chuyển đổi sẽ làm trầm trọng thêm khó khăn kinh tế, đặc biệt là về mất việc làm trong các ngành như khai thác than."
Tại sao quá trình chuyển đổi sang Net Zero được coi là một cơ hội lớn cho các nước đang phát triển?,"Bởi vì họ sẽ cảm nhận được những tác động tồi tệ nhất của biến đổi khí hậu, và đây là cơ hội để phát triển bền vững."
Các nước đang phát triển có cơ hội độc đáo nào trong quá trình chuyển đổi xanh do có ít cơ sở hạ tầng cũ hơn?,"Cơ hội để đi tắt đón đầu (leapfrog), tránh xây dựng cơ sở hạ tầng của quá khứ cho tương lai."
Bước đầu tiên được đề xuất để đối phó với những định kiến của chính bạn về ESG là gì?,Thừa nhận rằng các định kiến của bạn tồn tại.
"Để có được sự hiểu biết đầy đủ hơn và lấp đầy những khoảng trống trong nhận thức của bản thân về ESG, bạn nên làm gì?",Hỏi ý kiến của người khác để tìm kiếm nhiều góc nhìn.
"Khi trò chuyện với những người có quan điểm khác về ESG, bạn nên thể hiện _____ và hiểu lập luận từ góc nhìn của họ.",sự đồng cảm
Lợi ích đối với các công ty tập trung vào việc giảm tác động môi trường (chữ 'E' trong ESG) là gì?,"Họ có thể tiết kiệm chi phí năng lượng, quản lý chất thải và tuân thủ quy định, đồng thời thu hút khách hàng có ý thức về môi trường."
Lợi ích đối với các công ty tập trung vào các vấn đề xã hội như đa dạng và hòa nhập (chữ 'S' trong ESG) là gì?,"Lực lượng lao động gắn kết hơn, tăng năng suất, giảm tỷ lệ nghỉ việc và giữ chân nhân tài."
Tại sao các công ty ưu tiên ESG có thể hấp dẫn hơn từ góc độ quản trị ('G')?,Vì các nhà đầu tư ngày càng xem xét các yếu tố ESG khi đưa ra quyết định đầu tư.
Một mối quan tâm phổ biến của mọi người về việc thực hiện các nguyên tắc ESG liên quan đến tài chính là gì?,Lo ngại rằng nó có thể tốn quá nhiều tiền.
Một mối lo ngại liên quan đến việc đo lường hiệu quả của ESG là gì?,Khó khăn trong việc đo lường tác động của nó một cách cụ thể.
Mối quan tâm liên quan đến tính xác thực của doanh nghiệp khi nói đến các nguyên tắc ESG là gì?,Lo ngại rằng một số công ty có thể giả vờ quan tâm đến các nguyên tắc ESG mà không thực sự làm bất cứ điều gì (tẩy xanh).
Thông điệp bao quát về hành trình ESG là gì?,"Đó không phải là một hành trình chúng ta đi một mình, mà là một hành trình chúng ta đi cùng nhau."
"Để xây dựng cầu nối tin tưởng trong một cuộc trò chuyện về ESG, người ta nên làm gì đối với những nghi ngờ của đối phương?",Nhận biết và thừa nhận những cảm xúc đằng sau những nghi ngờ đó.
Câu chuyện của Jack và James minh họa _____ và trách nhiệm chung mà tất cả chúng ta có trong việc thực hiện các sáng kiến ESG.,sự liên kết chặt chẽ
"Một cách để đối phó với những định kiến của chính mình là tự hỏi câu hỏi: ""_____?""",Mình đang bỏ lỡ điều gì ở đây? (What am I missing here?)
Việc kể những câu chuyện về thành công của chính bạn với các sáng kiến ESG có thể giúp ích như thế nào trong các cuộc trò chuyện?,"Nó cung cấp bằng chứng thực tế, cụ thể và làm cho các khái niệm trở nên dễ hiểu và đáng tin cậy hơn."
"Việc giảm tỷ lệ nghỉ việc, một lợi ích của khía cạnh 'Xã hội' trong ESG, giúp công ty về mặt tài chính như thế nào?","Giúp giảm chi phí tuyển dụng và đào tạo, và giúp công ty giữ chân những nhân tài quý giá."
